,НИЙТ,Өөрийн сэтгэл хөдлөлөө танин барих,Бусдын сэтгэл хөдлөлийг мэдэх,Сэтгэл хөдлөлөө илэрхийлэх,Сэтгэл хөдлөлийн учир шалтгааныг таних,Сэтгэлийн хөдөлгөөнөө удирдах,Бусдын сэтгэл хөдлөлийг удирдах,Сэтгэл хөдлөлөө хянах
1,30.47010874,31.2902939,28.20086012,29.25496801,29.10625191,27.68131244,28.72002822,28.09438458
2,31.73668703,32.3312303,29.52007788,30.33041093,30.0236742,28.72424553,29.97238574,29.44135854
3,32.30027234,33.17583139,30.39995039,31.167584,30.74273436,29.44660429,30.85378009,30.32938037
4,32.93627715,33.85988146,30.98029171,31.82689678,31.45255593,29.99769758,31.37498618,30.84323946
5,33.38650031,34.31392662,31.50726814,32.41665374,31.89334428,30.47062916,31.85396508,31.40297136
6,33.71855851,34.77114235,32.00041499,32.92097041,32.35892248,30.9396469,32.46080184,31.92774783
7,33.9856429,35.09910217,32.32463438,33.31048323,32.67965611,31.38715606,32.90857269,32.40625869
8,34.2974002,35.43585906,32.75816303,33.62384887,33.01239266,31.69254181,33.30734758,32.80219136
9,34.54563401,35.75672383,33.06359732,33.85686278,33.32166554,32.00621944,33.66417661,33.08443928
10,34.75293915,36.0850879,33.31672675,34.12828089,33.6113203,32.26589096,33.91314976,33.41791244
11,34.92975315,36.40498333,33.4943992,34.34402557,33.83207074,32.51489767,34.23360252,33.71211238
12,35.15134295,36.63712507,33.69590553,34.63084987,34.03267369,32.79170709,34.5179709,33.98381506
13,35.32603877,36.86492968,33.94236188,34.84415569,34.22614652,33.05864078,34.76335159,34.24807126
14,35.52478256,37.05882452,34.22980711,35.07423505,34.40741899,33.24374111,34.9878117,34.5199523
15,35.69897294,37.21685642,34.47337562,35.27465805,34.6165019,33.42191852,35.18477001,34.75334083
16,35.85523982,37.43801842,34.65937148,35.48916027,34.7541572,33.61408349,35.37750327,34.93772776
17,35.99083188,37.60654814,34.88586266,35.63787631,34.95102026,33.76587985,35.57146182,35.1382731
18,36.17533659,37.79750755,35.02193446,35.85314183,35.10855771,33.95823023,35.76285607,35.34344229
19,36.34304937,37.94320705,35.20951044,36.00185417,35.28137489,34.18304278,35.92034669,35.51991248
20,36.51469439,38.16004541,35.38649794,36.17278402,35.43259753,34.35577963,36.10275715,35.66972412
21,36.64856502,38.28407903,35.58714587,36.35333943,35.59418471,34.49417144,36.26794022,35.85060479
22,36.76259263,38.42305368,35.76279514,36.53773169,35.82070833,34.61599087,36.42024398,35.96785603
23,36.90978596,38.54681381,35.91748538,36.69681508,35.97996899,34.79199566,36.63479494,36.11609903
24,37.03975302,38.68905946,36.0482713,36.83799016,36.1311905,34.92467419,36.78800023,36.2837911
25,37.16556516,38.80930127,36.18663845,36.98863429,36.28237732,35.07924833,36.96149221,36.46810418
26,37.29919729,38.94222972,36.30481911,37.12752883,36.40844261,35.22878842,37.10204298,36.59976069
27,37.41788541,39.05916143,36.4547071,37.23443305,36.54698856,35.39860944,37.23882702,36.73059777
28,37.52340811,39.20139374,36.61356814,37.42633347,36.68906149,35.54861431,37.40398771,36.8354867
29,37.67361775,39.30826551,36.75434282,37.55323444,36.86563779,35.69324295,37.51136234,36.93183527
30,37.82547558,39.44840314,36.86900302,37.69187511,36.97297231,35.79945878,37.63898042,37.06358671
